M1a  E(B,n) == 1 exactly whenever A[n]+1 <= B :  0 violations out of 216 cells
M1a' integer check: 0 mismatches

M1b  E(B,n) by lambda = n/B  (3x+1, complete scan of odd m < 2^B)
  B    n    lam        count       expected        E  regime
  8    4  0.500           26        26.0000   1.0000  vacuous
  8    5  0.625           19        19.0000   1.0000  vacuous
  8    6  0.750           19        16.0000   1.1875  mixed
  8    8  1.000           15        11.4688   1.3079  unique
  8   10  1.250           14         8.2578   1.6954  unique
  8   12  1.500           13         6.6719   1.9485  unique
  8   14  1.750           12         5.1516   2.3294  unique
  8   16  2.000           12         3.9573   3.0324  unique
  8   20  2.500            8         2.4645   3.2461  unique
  8   24  3.000            8         1.6818   4.7569  unique
  8   28  3.500            5         1.1204   4.4625  unique
  8   32  4.000            4         0.7587   5.2722  unique
  8   40  5.000            0         0.3822   0.0000  unique
  8   50  6.250            0         0.1701   0.0000  unique
  8   60  7.500            0         0.0788   0.0000  unique
  9    5  0.556           38        38.0000   1.0000  vacuous
  9    6  0.667           33        32.0000   1.0312  mixed
  9    8  0.889           26        22.9375   1.1335  unique
  9   10  1.111           21        16.5156   1.2715  unique
  9   12  1.333           18        13.3438   1.3489  unique
  9   14  1.556           15        10.3032   1.4559  unique
  9   16  1.778           14         7.9145   1.7689  unique
  9   20  2.222            9         4.9290   1.8259  unique
  9   24  2.667            9         3.3635   2.6758  unique
  9   28  3.111            5         2.2409   2.2312  unique
  9   32  3.556            4         1.5174   2.6361  unique
  9   40  4.444            0         0.7644   0.0000  unique
  9   50  5.556            0         0.3402   0.0000  unique
  9   60  6.667            0         0.1575   0.0000  unique
  9   70  7.778            0         0.0724   0.0000  unique
 10    5  0.500           76        76.0000   1.0000  vacuous
 10    6  0.600           64        64.0000   1.0000  vacuous
 10    8  0.800           47        45.8750   1.0245  mixed
 10   10  1.000           36        33.0312   1.0899  unique
 10   12  1.200           31        26.6875   1.1616  unique
 10   14  1.400           24        20.6063   1.1647  unique
 10   16  1.600           19        15.8291   1.2003  unique
 10   20  2.000           13         9.8580   1.3187  unique
 10   24  2.400           10         6.7270   1.4865  unique
 10   28  2.800            6         4.4818   1.3387  unique
 10   32  3.200            5         3.0348   1.6476  unique
 10   40  4.000            1         1.5289   0.6541  unique
 10   50  5.000            1         0.6803   1.4698  unique
 10   60  6.000            0         0.3150   0.0000  unique
 10   70  7.000            0         0.1448   0.0000  unique
 10   80  8.000            0         0.0715   0.0000  unique
 11    6  0.545          128       128.0000   1.0000  vacuous
 11    8  0.727           91        91.7500   0.9918  mixed
 11   10  0.909           69        66.0625   1.0445  unique
 11   12  1.091           56        53.3750   1.0492  unique
 11   14  1.273           42        41.2126   1.0191  unique
 11   16  1.455           30        31.6581   0.9476  unique
 11   20  1.818           22        19.7160   1.1158  unique
 11   24  2.182           16        13.4540   1.1892  unique
 11   28  2.545           11         8.9636   1.2272  unique
 11   32  2.909           10         6.0696   1.6476  unique
 11   40  3.636            4         3.0578   1.3081  unique
 11   50  4.545            2         1.3607   1.4698  unique
 11   60  5.455            0         0.6300   0.0000  unique
 11   70  6.364            0         0.2897   0.0000  unique
 11   80  7.273            0         0.1429   0.0000  unique
 12    6  0.500          256       256.0000   1.0000  vacuous
 12    8  0.667          185       183.5000   1.0082  mixed
 12   10  0.833          133       132.1250   1.0066  mixed
 12   12  1.000          101       106.7500   0.9461  unique
 12   14  1.167           81        82.4253   0.9827  unique
 12   16  1.333           60        63.3163   0.9476  unique
 12   20  1.667           42        39.4320   1.0651  unique
 12   24  2.000           30        26.9080   1.1149  unique
 12   28  2.333           17        17.9272   0.9483  unique
 12   32  2.667           12        12.1392   0.9885  unique
 12   40  3.333            5         6.1156   0.8176  unique
 12   50  4.167            2         2.7214   0.7349  unique
 12   60  5.000            0         1.2600   0.0000  unique
 12   70  5.833            0         0.5793   0.0000  unique
 12   80  6.667            0         0.2858   0.0000  unique
 12  100  8.333            0         0.0707   0.0000  unique
 13    8  0.615          367       367.0000   1.0000  vacuous
 13   10  0.769          262       264.2500   0.9915  mixed
 13   12  0.923          201       213.5000   0.9415  unique
 13   14  1.077          160       164.8506   0.9706  unique
 13   16  1.231          122       126.6326   0.9634  unique
 13   20  1.538           85        78.8641   1.0778  unique
 13   24  1.846           60        53.8161   1.1149  unique
 13   28  2.154           37        35.8544   1.0320  unique
 13   32  2.462           23        24.2784   0.9473  unique
 13   40  3.077           11        12.2312   0.8993  unique
 13   50  3.846            2         5.4428   0.3675  unique
 13   60  4.615            0         2.5200   0.0000  unique
 13   70  5.385            0         1.1587   0.0000  unique
 13   80  6.154            0         0.5716   0.0000  unique
 13  100  7.692            0         0.1414   0.0000  unique
 14    8  0.571          734       734.0000   1.0000  vacuous
 14   10  0.714          528       528.5000   0.9991  mixed
 14   12  0.857          407       427.0000   0.9532  mixed
 14   14  1.000          326       329.7012   0.9888  unique
 14   16  1.143          248       253.2651   0.9792  unique
 14   20  1.429          161       157.7281   1.0207  unique
 14   24  1.714          109       107.6322   1.0127  unique
 14   28  2.000           67        71.7087   0.9343  unique
 14   32  2.286           42        48.5568   0.8650  unique
 14   40  2.857           23        24.4624   0.9402  unique
 14   50  3.571            4        10.8855   0.3675  unique
 14   60  4.286            1         5.0400   0.1984  unique
 14   70  5.000            0         2.3173   0.0000  unique
 14   80  5.714            0         1.1432   0.0000  unique
 14  100  7.143            0         0.2828   0.0000  unique
 14  120  8.571            0         0.0762   0.0000  unique
 15    8  0.533         1468      1468.0000   1.0000  vacuous
 15   10  0.667         1058      1057.0000   1.0009  mixed
 15   12  0.800          833       854.0000   0.9754  mixed
 15   14  0.933          657       659.4023   0.9964  unique
 15   16  1.067          504       506.5303   0.9950  unique
 15   20  1.333          320       315.4563   1.0144  unique
 15   24  1.600          223       215.2643   1.0359  unique
 15   28  1.867          142       143.4175   0.9901  unique
 15   32  2.133           93        97.1137   0.9576  unique
 15   40  2.667           48        48.9248   0.9811  unique
 15   50  3.333            5        21.7710   0.2297  unique
 15   60  4.000            1        10.0800   0.0992  unique
 15   70  4.667            0         4.6347   0.0000  unique
 15   80  5.333            0         2.2865   0.0000  unique
 15  100  6.667            0         0.5655   0.0000  unique
 15  120  8.000            0         0.1525   0.0000  unique
 16    8  0.500         2936      2936.0000   1.0000  vacuous
 16   10  0.625         2114      2114.0000   1.0000  vacuous
 16   12  0.750         1676      1708.0000   0.9813  mixed
 16   14  0.875         1294      1318.8047   0.9812  mixed
 16   16  1.000          996      1013.0605   0.9832  unique
 16   20  1.250          633       630.9125   1.0033  unique
 16   24  1.500          436       430.5286   1.0127  unique
 16   28  1.750          279       286.8349   0.9727  unique
 16   32  2.000          192       194.2273   0.9885  unique
 16   40  2.500           96        97.8495   0.9811  unique
 16   50  3.125           17        43.5421   0.3904  unique
 16   60  3.750            9        20.1600   0.4464  unique
 16   70  4.375            7         9.2694   0.7552  unique
 16   80  5.000            2         4.5730   0.4374  unique
 16  100  6.250            0         1.1310   0.0000  unique
 16  120  7.500            0         0.3049   0.0000  unique
 16  140  8.750            0         0.0796   0.0000  unique
 17   10  0.588         4228      4228.0000   1.0000  vacuous
 17   12  0.706         3377      3416.0000   0.9886  mixed
 17   14  0.824         2598      2637.6094   0.9850  mixed
 17   16  0.941         1994      2026.1211   0.9841  unique
 17   20  1.176         1259      1261.8250   0.9978  unique
 17   24  1.412          847       861.0572   0.9837  unique
 17   28  1.647          545       573.6698   0.9500  unique
 17   32  1.882          383       388.4547   0.9860  unique
 17   40  2.353          187       195.6991   0.9555  unique
 17   50  2.941           60        87.0842   0.6890  unique
