M2  marginal law of delta = S+1-log2 r(w), sampled exactly from the
    dyadic law on rare-side words.   Null: P(delta>t) = 2^-t, mean = 1.442695

   map    n      K     mean     null       P>1       P>2       P>3       P>4       P>6       P>8      P>10
  3x+1   20  40000   1.4299   1.4427 0.4983   0.2473   0.1228   0.0598   0.0158   0.0036   0.0008   
  3x+1   40  40000   1.4418   1.4427 0.5005   0.2513   0.1270   0.0620   0.0151   0.0040   0.0009   
  3x+1   60  40000   1.4445   1.4427 0.5003   0.2514   0.1241   0.0615   0.0154   0.0039   0.0011   
  3x+1  100  20000   1.4457   1.4427 0.5007   0.2500   0.1252   0.0629   0.0162   0.0049   0.0013   
  3x+1  120  20000   1.4299   1.4427 0.4938   0.2464   0.1246   0.0603   0.0157   0.0037   0.0012   
  3x+1  140  20000   1.4340   1.4427 0.4965   0.2438   0.1244   0.0630   0.0154   0.0037   0.0008   
  3x+1  150  20000   1.4255   1.4427 0.4949   0.2443   0.1220   0.0596   0.0146   0.0043   0.0014   
  3x+1  160  20000   1.4502   1.4427 0.5015   0.2517   0.1269   0.0637   0.0154   0.0040   0.0010   
  3x+1  180  20000   1.4365   1.4427 0.4970   0.2467   0.1240   0.0619   0.0154   0.0037   0.0011   
  3x+1  200  20000   1.4559   1.4427 0.5021   0.2529   0.1275   0.0644   0.0163   0.0037   0.0011   
  3x+1  250  20000   1.4597   1.4427 0.5030   0.2550   0.1288   0.0651   0.0163   0.0035   0.0013   
  3x+1  300  20000   1.4466   1.4427 0.4995   0.2512   0.1244   0.0640   0.0168   0.0042   0.0010   
  3x-1   20  20000   1.4532   1.4427 0.5031   0.2527   0.1258   0.0641   0.0166   0.0037   0.0011   
  3x-1   40  20000   1.4500   1.4427 0.4970   0.2497   0.1259   0.0649   0.0169   0.0047   0.0009   
  3x-1   60  20000   1.4601   1.4427 0.5053   0.2582   0.1262   0.0631   0.0155   0.0043   0.0010   
  3x-1  100  20000   1.4358   1.4427 0.4988   0.2512   0.1231   0.0598   0.0148   0.0040   0.0009   
  3x-1  120  20000   1.4476   1.4427 0.4998   0.2497   0.1271   0.0633   0.0163   0.0042   0.0010   
  3x-1  140  20000   1.4458   1.4427 0.5063   0.2513   0.1225   0.0611   0.0156   0.0043   0.0011   
  3x-1  150  20000   1.4356   1.4427 0.4946   0.2515   0.1255   0.0609   0.0150   0.0040   0.0012   
  3x-1  200  20000   1.4438   1.4427 0.5010   0.2510   0.1250   0.0619   0.0150   0.0042   0.0013   
  5x+1   20  20000   1.4437   1.4427 0.4994   0.2535   0.1257   0.0621   0.0152   0.0043   0.0010   
  5x+1   40  20000   1.4540   1.4427 0.5012   0.2557   0.1280   0.0646   0.0163   0.0037   0.0006   
  5x+1   60  20000   1.4354   1.4427 0.4954   0.2450   0.1260   0.0611   0.0154   0.0046   0.0012   
  5x+1  100  20000   1.4429   1.4427 0.4976   0.2525   0.1268   0.0625   0.0157   0.0034   0.0010   
  5x+1  150  20000   1.4421   1.4427 0.5024   0.2479   0.1231   0.0626   0.0147   0.0040   0.0008   
  5x+1  200  20000   1.4453   1.4427 0.5032   0.2503   0.1247   0.0602   0.0158   0.0041   0.0014   
  5x-1   20  20000   1.4556   1.4427 0.5007   0.2496   0.1288   0.0648   0.0172   0.0043   0.0009   
  5x-1   40  20000   1.4380   1.4427 0.4988   0.2521   0.1252   0.0605   0.0159   0.0041   0.0010   
  5x-1   60  20000   1.4528   1.4427 0.5046   0.2535   0.1258   0.0628   0.0159   0.0037   0.0006   
  5x-1  100  20000   1.4450   1.4427 0.5024   0.2516   0.1263   0.0623   0.0155   0.0038   0.0012   
  5x-1  120  20000   1.4591   1.4427 0.5085   0.2510   0.1278   0.0644   0.0164   0.0040   0.0011   
  5x-1  140  20000   1.4256   1.4427 0.4924   0.2454   0.1234   0.0617   0.0145   0.0033   0.0008   
  5x-1  150  20000   1.4297   1.4427 0.4975   0.2467   0.1221   0.0604   0.0152   0.0037   0.0013   
  5x-1  200  20000   1.4243   1.4427 0.4968   0.2414   0.1208   0.0621   0.0157   0.0028   0.0008   

  '*' marks |z| > 4 against the null (binomial, independent-sample SE).
